week_id,district_id,district_name,year,month,cases
2022-W01,BC,Bình Chánh,2022,1,133
2022-W01,BT,Bình Tân,2022,1,120
2022-W01,BTH,Bình Thạnh,2022,1,52
2022-W01,CC,Củ Chi,2022,1,79
2022-W01,CG,Cần Giờ,2022,1,13
2022-W01,GV,Gò Vấp,2022,1,74
2022-W01,HM,Hóc Môn,2022,1,74
2022-W01,NB,Nhà Bè,2022,1,31
2022-W01,PN,Phú Nhuận,2022,1,14
2022-W01,Q1,Quận 1,2022,1,15
2022-W01,Q10,Quận 10,2022,1,18
2022-W01,Q11,Quận 11,2022,1,17
2022-W01,Q12,Quận 12,2022,1,82
2022-W01,Q3,Quận 3,2022,1,14
2022-W01,Q4,Quận 4,2022,1,17
2022-W01,Q5,Quận 5,2022,1,18
2022-W01,Q6,Quận 6,2022,1,19
2022-W01,Q7,Quận 7,2022,1,36
2022-W01,Q8,Quận 8,2022,1,42
2022-W01,TB,Tân Bình,2022,1,60
2022-W01,TD,Thủ Đức,2022,1,152
2022-W01,TP,Tân Phú,2022,1,60
2022-W02,BC,Bình Chánh,2022,1,109
2022-W02,BT,Bình Tân,2022,1,109
2022-W02,BTH,Bình Thạnh,2022,1,69
2022-W02,CC,Củ Chi,2022,1,59
2022-W02,CG,Cần Giờ,2022,1,9
2022-W02,GV,Gò Vấp,2022,1,92
2022-W02,HM,Hóc Môn,2022,1,85
2022-W02,NB,Nhà Bè,2022,1,37
2022-W02,PN,Phú Nhuận,2022,1,11
2022-W02,Q1,Quận 1,2022,1,23
2022-W02,Q10,Quận 10,2022,1,16
2022-W02,Q11,Quận 11,2022,1,19
2022-W02,Q12,Quận 12,2022,1,86
2022-W02,Q3,Quận 3,2022,1,18
2022-W02,Q4,Quận 4,2022,1,14
2022-W02,Q5,Quận 5,2022,1,19
2022-W02,Q6,Quận 6,2022,1,30
2022-W02,Q7,Quận 7,2022,1,41
2022-W02,Q8,Quận 8,2022,1,42
2022-W02,TB,Tân Bình,2022,1,72
2022-W02,TD,Thủ Đức,2022,1,162
2022-W02,TP,Tân Phú,2022,1,56
2022-W03,BC,Bình Chánh,2022,1,130
2022-W03,BT,Bình Tân,2022,1,133
2022-W03,BTH,Bình Thạnh,2022,1,64
2022-W03,CC,Củ Chi,2022,1,82
2022-W03,CG,Cần Giờ,2022,1,15
2022-W03,GV,Gò Vấp,2022,1,79
2022-W03,HM,Hóc Môn,2022,1,72
2022-W03,NB,Nhà Bè,2022,1,30
2022-W03,PN,Phú Nhuận,2022,1,8
2022-W03,Q1,Quận 1,2022,1,26
2022-W03,Q10,Quận 10,2022,1,19
2022-W03,Q11,Quận 11,2022,1,20
2022-W03,Q12,Quận 12,2022,1,103
2022-W03,Q3,Quận 3,2022,1,13
2022-W03,Q4,Quận 4,2022,1,17
2022-W03,Q5,Quận 5,2022,1,17
2022-W03,Q6,Quận 6,2022,1,15
2022-W03,Q7,Quận 7,2022,1,51
2022-W03,Q8,Quận 8,2022,1,38
2022-W03,TB,Tân Bình,2022,1,63
2022-W03,TD,Thủ Đức,2022,1,169
2022-W03,TP,Tân Phú,2022,1,52
2022-W04,BC,Bình Chánh,2022,1,143
2022-W04,BT,Bình Tân,2022,1,96
2022-W04,BTH,Bình Thạnh,2022,1,57
2022-W04,CC,Củ Chi,2022,1,70
2022-W04,CG,Cần Giờ,2022,1,13
2022-W04,GV,Gò Vấp,2022,1,88
2022-W04,HM,Hóc Môn,2022,1,85
2022-W04,NB,Nhà Bè,2022,1,43
2022-W04,PN,Phú Nhuận,2022,1,11
2022-W04,Q1,Quận 1,2022,1,14
2022-W04,Q10,Quận 10,2022,1,23
2022-W04,Q11,Quận 11,2022,1,22
2022-W04,Q12,Quận 12,2022,1,66
2022-W04,Q3,Quận 3,2022,1,19
2022-W04,Q4,Quận 4,2022,1,18
2022-W04,Q5,Quận 5,2022,1,18
2022-W04,Q6,Quận 6,2022,1,28
2022-W04,Q7,Quận 7,2022,1,31
2022-W04,Q8,Quận 8,2022,1,47
2022-W04,TB,Tân Bình,2022,1,63
2022-W04,TD,Thủ Đức,2022,1,167
2022-W04,TP,Tân Phú,2022,1,63
2022-W05,BC,Bình Chánh,2022,1,143
2022-W05,BT,Bình Tân,2022,1,118
2022-W05,BTH,Bình Thạnh,2022,1,49
2022-W05,CC,Củ Chi,2022,1,82
2022-W05,CG,Cần Giờ,2022,1,9
2022-W05,GV,Gò Vấp,2022,1,93
2022-W05,HM,Hóc Môn,2022,1,82
2022-W05,NB,Nhà Bè,2022,1,26
2022-W05,PN,Phú Nhuận,2022,1,11
2022-W05,Q1,Quận 1,2022,1,19
2022-W05,Q10,Quận 10,2022,1,26
2022-W05,Q11,Quận 11,2022,1,21
2022-W05,Q12,Quận 12,2022,1,74
2022-W05,Q3,Quận 3,2022,1,17
2022-W05,Q4,Quận 4,2022,1,15
2022-W05,Q5,Quận 5,2022,1,24
2022-W05,Q6,Quận 6,2022,1,27
2022-W05,Q7,Quận 7,2022,1,33
2022-W05,Q8,Quận 8,2022,1,56
2022-W05,TB,Tân Bình,2022,1,64
2022-W05,TD,Thủ Đức,2022,1,188
2022-W05,TP,Tân Phú,2022,1,55
2022-W06,BC,Bình Chánh,2022,2,139
2022-W06,BT,Bình Tân,2022,2,124
2022-W06,BTH,Bình Thạnh,2022,2,66
2022-W06,CC,Củ Chi,2022,2,67
2022-W06,CG,Cần Giờ,2022,2,17
2022-W06,GV,Gò Vấp,2022,2,87
2022-W06,HM,Hóc Môn,2022,2,79
2022-W06,NB,Nhà Bè,2022,2,28
2022-W06,PN,Phú Nhuận,2022,2,17
2022-W06,Q1,Quận 1,2022,2,12
2022-W06,Q10,Quận 10,2022,2,23
2022-W06,Q11,Quận 11,2022,2,24
2022-W06,Q12,Quận 12,2022,2,61
2022-W06,Q3,Quận 3,2022,2,14
2022-W06,Q4,Quận 4,2022,2,21
2022-W06,Q5,Quận 5,2022,2,20
2022-W06,Q6,Quận 6,2022,2,25
2022-W06,Q7,Quận 7,2022,2,48
2022-W06,Q8,Quận 8,2022,2,45
2022-W06,TB,Tân Bình,2022,2,51
2022-W06,TD,Thủ Đức,2022,2,181
2022-W06,TP,Tân Phú,2022,2,59
2022-W07,BC,Bình Chánh,2022,2,167
2022-W07,BT,Bình Tân,2022,2,116
2022-W07,BTH,Bình Thạnh,2022,2,60
2022-W07,CC,Củ Chi,2022,2,51
2022-W07,CG,Cần Giờ,2022,2,10
2022-W07,GV,Gò Vấp,2022,2,96
2022-W07,HM,Hóc Môn,2022,2,80
2022-W07,NB,Nhà Bè,2022,2,32
2022-W07,PN,Phú Nhuận,2022,2,9
2022-W07,Q1,Quận 1,2022,2,16
2022-W07,Q10,Quận 10,2022,2,21
2022-W07,Q11,Quận 11,2022,2,20
2022-W07,Q12,Quận 12,2022,2,81
2022-W07,Q3,Quận 3,2022,2,15
2022-W07,Q4,Quận 4,2022,2,12
2022-W07,Q5,Quận 5,2022,2,24
2022-W07,Q6,Quận 6,2022,2,25
2022-W07,Q7,Quận 7,2022,2,40
2022-W07,Q8,Quận 8,2022,2,61
2022-W07,TB,Tân Bình,2022,2,52
2022-W07,TD,Thủ Đức,2022,2,155
2022-W07,TP,Tân Phú,2022,2,47
2022-W08,BC,Bình Chánh,2022,2,118
2022-W08,BT,Bình Tân,2022,2,127
2022-W08,BTH,Bình Thạnh,2022,2,70
2022-W08,CC,Củ Chi,2022,2,74
2022-W08,CG,Cần Giờ,2022,2,7
2022-W08,GV,Gò Vấp,2022,2,92
2022-W08,HM,Hóc Môn,2022,2,75
2022-W08,NB,Nhà Bè,2022,2,37
2022-W08,PN,Phú Nhuận,2022,2,12
2022-W08,Q1,Quận 1,2022,2,16
2022-W08,Q10,Quận 10,2022,2,25
2022-W08,Q11,Quận 11,2022,2,26
2022-W08,Q12,Quận 12,2022,2,68
2022-W08,Q3,Quận 3,2022,2,13
2022-W08,Q4,Quận 4,2022,2,18
2022-W08,Q5,Quận 5,2022,2,15
2022-W08,Q6,Quận 6,2022,2,35
2022-W08,Q7,Quận 7,2022,2,38
2022-W08,Q8,Quận 8,2022,2,63
2022-W08,TB,Tân Bình,2022,2,63
